İsim,Adres,Telefon,E-posta
Egenin İncisi,Şemsettin Günaltay Caddesi,,
Yerinde Pide,Şemsettin Günaltay Caddesi,,
Hacıbaşar,Şemsettin Günaltay Caddesi,,
Ye Döner,,,
Hababam Köfte,Ayşe Çavuş Caddesi,,
Sılaşara,,+90 216 3666667,
Karınca Kebap,,,
Adıyaman çiğköfte,,,
Patlıcan Cafe & Ev Yemekleri,Sinan Ercan Caddesi,,
Ekstratat,,,
Köfteci Nuri,,,
Merakli,,,
Besin Köfte&Pİyaz,,,
Adıyaman Çiğ Köftecisi,,,
Çorbacı Mecit Usta,,,
Merkez Börek Cafe,Türkeli Sokak,,
Korkmaz Kebap & Restaurant,Kartal Caddesi,,
Beş Bıçak Steak House - Kasap,Cumhuriyet Caddesi,+90 212 8523003,info@besbicak.com
Develi,Vedat Günyol Caddesi,+90 216 575 68 68,
Adana dostlar kebap,,,
Merkez Lokantası,Yakacık Caddesi,02164730888,
Yaprak Döner,,,
Teos Balık,,,
Erzurum Sofrası,,,
Maltepe Derneği Restaurant,,,
Ünlüer Gurme,,,
Ayışığı,,,
Zübeyir Ocakbaşı,Ardıç Sokağı,,
fitty feed - clean eating,Yeşilbahar Sokak,+90 216 350 14 50,
Öz Süper Pide Salonu,Şeyh Şamil Caddesi,02164985205,
Beş Kardeşlar Kafeterya,Pamuk Sokağı,,
Zahret Halep,Fatih Bulvarı,,
Layali Halep,Fatih Bulvarı,,
Doneri Ye,Çamlık Caddesi,02164988123,
Çavuşoğulları,Bayraktar Sokağı,,
Ela Börek,Kaptanı Derya Cadeesi,02165928000,
Oney Dondurma,Kaptani Derya Caddesi,,
Dönerci Cüneyt Usta,Kaptani Derya Caddesi,05388234242,
Turuncu Döner Salonu,Cinnah Sokağı,02164192665,
Etsiz Çiğköfte,Su KEnarl,,
Padişah,Irvan Sokağı,,
Öz Şark Kebap ve Pide,Bosna Bulvarı,,
Köfteci,Salihler Caddesi,,
Nebol,ÇiÇEKLi,,
Nsb,Irvan Sokağı,,
Meydan Kebap,Hamidiye Caddesi,,
Paşa Döner,Bosna Bulvarı,,
Kasapçım2,Irvan Sokağı,05425176669,
Damla Et,Bosna Bulvarı,,
Cemile Sultan Ev Yemekleri,Yakuphan Caddesi,0551 442 64 15,
Ziyafet Çiğköfte,Ivan Sokağı,,
Çiğköfte,Vahdet Caddesi,,
Lapinbalik et,Irvan Sokağı,,
Harput kebap,Yusuf islam sokağı,02163981397,
Koclar restaurant,Fatih bulvarı,02163982699,
Balım,Fatih bulvarı,02164194698,
Berekat doner,Ziya-ül hak caddesi,05354047164,
Kadıoğlu yemek . döner,Cami caddesi,,
Paşam zurna dürüm,Şen caddesi,05374029858,
Grand house,Ziya-ül hak caddise,,
Oruç kardeşler lahmacun,Mimar sinan caddesi,02165927415,
Abu tavfik lokanta,Ziya-ül hak caddise,,
Dönerci halim,Güneş caddesi,,
Çağ kebap ocak başı,Atatürk caddesi,02164961125,
Tanıdık dürüm evi,Şen caddesi,02164962221,
Kapı shahba,Ziya-ül hak caddesi,,
Hanedan pilav,Cami caddesi,05377393352,
Dönerci lütfü usta,Miraç caddesi,02163983672,
Çağ kebapçi davut usta,Pınarbaşı sokağı,02164196894,
Hanedan,Kale caddesi,02164190506,
Skoop,Ziya-ül hak caddise,,
ÖZ karadeniz sofrası,Hikmetyar caddesi,05464142615,
Akça saraylim,Ak sokağı,,
Meşhur karadeniz pidesi,Fatih bulvarı,02164190444,
Etiler marmaris,Bağdagül sokağı,02164072727,
Alşark restoran,Ziya-ül hak caddise,,
Köşe başi,Gül caddesi,,
Hedef 12,Şanlıurfa caddesi,05326296340,
Köyümce iskender,Cahar Dudayev Sk,02163985004,
Rainbow Cafe Restaurant,Faith Bulvarı,02164964345,
Adaklı İskender Kebab,Fatih bulvarı,02163980429,
Uğurlu cafe restorant,Akabe caddesi,02164198526,
Salas lahmacun,Bakkaloğlu caddesi,,
Mekan kokoreç,Erdoğan caddesi,05358133322,
Tekçe kanat,Yusuf islam sokağı,02164191373,
Öz firat,Kuran kursu caddesi,02163980119,
Tutkun dönercim,Fatih bulvarı,02164198021,
maraç,Fatih Bulvarı,,
مطعم اسماك,,,
Kipos Balık,,,
Benusen Restoran,Neşet Ömer Sk,(0216) 338 84 18,
Privato Cafe,Tımarcı Sokağı,+90 212 293 20 55,
Pilavcı Fevzi,Taşdirek Çeşmesi Sokak,+90 539 782 55 65,
Cozy Pub & Restaurant,,,
Pasha Restaurant,,,
Ehlitat Lokantasi,Balo Sokağı,,
Kanaat Lokantası,Selmani Pak Caddesi,,
Zürüm Dürüm,,,
Beso Restaurant Bistro,Ordu caddesi yeşil tulumba Sokak no 19 Laleli İstanbul,+905334329863,info@restaurantbeso.com
Old Istanbul Cuisine,Kazım İsmail Gürkan Caddesi,,
Bop Breakfast Of Pan,,,
Levent Pide & Börek Salonu,,,
Tonton Efendi,,,
Kadim İşkembe Salonu,Serasker Caddesi,,
The Han,Alemdar Caddesi,,
Miniatürk,,,
Orkinos Balıkçısı,Talatpaşa Caddesi,05323716715,
Mom's Garden,,,
Beyazinci,,,
Sanat,,,
Yunus Balık,,,
Marinero,,,
Maxigala,,,
Balon Cafe,,,
,Dilhayat Sokak,,
Hünkar,Mimar Kemal Öke Caddesi,+90 212 225 46 65,
Zarafi,,,
Sans,Palmiye Sokak,+90 212 280 38 38,
Çayırdere Çamlık Restoran,,,
Firuzende,Bereketzade Mahallesi Büyükhendek Caddesi,,
Kaktüs Kahvesi,Cihangir Caddesi,,
YES Kardesler,,,
Balıkçı Lokantası,Tayyareci Sami Sokağı,,
Miss Börek ve Pide Salonu,Fatih Bulvarı Caddesi,,
Kasap,Selçıkan Caddesi,,
Tekin Malik Restaurant,Şanlıurfa Caddesi,02163981572,
Yufkacibkafkas,çamlik Caddesi,05427801210,
Çiğköfte Omar uosta,çamlik Caddesi,,
Tiryaki kebap,Fatih blv,,
Hvi,kaptanı derya Caddesi,,
Safranblu borekçisi,çamlik Cadde,,
Dogus yemek,yildirim Caddesi,,
Şehr-i saraylim,faith Caddesi,02164198616,
lezzet,Fatih bulguru,05616160034,
Ataklı pide,yildirim Caddesi,,
Uğur işkembe salonu,faith bulvarı Caddesi,02164194039,
Tazedo,kubbe Caddesi,02163989898,
Şorba salinu,Eşrefbey caddese,4874454,
Foto burak,Kubbe Caddesi,05349186010,
Positive Catering,Fatih Bulvarı Caddesi,02164985001,
ihsan vakfi ilme hizmet aşevi,Turabi Sokağı,05359894608,
Şölen Çorba,fatih bulvarı,,
Yavuz lar,selçukhan Caddesi,02165920237,
Eyyüpoğlu,Fatih Bulvarı Caddesi,02163989027,
Acicik çiğ köfte,huzur Cadde,02163720000,
Beşeyül köfte,Semanur Sokağı,,
Ziyafet,biberlik Caddesi,,
Karışık ızgara,selçukhan Caddesi,,
Saydam,selçukhan Caddesi,05375612721,
Salas ticaret,çamlik Caddesi,,
Döner.com,Fatih Bulvarı Caddesi,,
Has Çiğ Köfte dunyasi,Orman Caddesi,05395609012,
Tat Sultan,Kale Caddesi,,
Sarmaşık et mangal,Ferah Caddesi,02165613030,
koca kabap kanat,Sina iyi,,
Adanalı Dürümcü,bosna Caddesi,05399258383,
Közde kokoreç köfte,faith bulvarı Caddesi,05364365100,
VB,Fatih Bulvarı,,
Diyar Lokantası,Fatih Bulvarı Caddesi,02163987422,
Otantik O Restaurant Cafe,kubbe Caddesi,05436060005,
Konak lokanta,Şarkı Caddesi,05353173203,
Bizim mutfak,kubbe Caddesi,02165926100,
Süper Pide,Selçukhan Caddesi,,
Değişik çorba salonu,Fatih blv,,
Karal,kubbe Caddesi,,
Berrak opten,paşaköy Caddesi,05511669034,
Diyar et ızgara,Eşref bitlis blv,02164871818,
Doğuş Kebap Lahmacun,Orman Caddesi,02163981911,
Namli Sarıyer Börekçisi,Kubbe Caddesi,02166690962,
Eltiler ev yemekleri,Ataturk cadeciجادة اتاتورك,,
Karadeniz Tadal dedi Salonu,Yeşil Caddesi,02164960398,
Duâ Sofrası,bosna Caddesi,02165923028,
Umut şarküteri,Eşref bitlis blv,,
Orman bide börek,Orman Caddesi,,
Abooov kebap taner usta,Eşref bitlis blv,02164870787,
maraç,Fatih Bulvarı,,
Kral Çiğköfte,yildirim Caddesi,,
Berekat Lokanta & Kafeterya,Fatih Bulvarı Caddesi,05394189965,
Adaklı Pide & Börek,Bosna Bulvarı,,
Alioğlu döner evi,Dumlupınar Caddesi,02164196338,
Adaklı,Eşref bitlis blv,02164873440,
Arsamiea,Orman Caddesi,05389695122,
Alkan ekmek,Aktutan Caddesi,05353915512,
Akkoçlar,Petrol yolu Caddesi,02164966842,
Cadde Büfe,selçukhan Caddesi,,
Pizzabulls,kasem Sokağı,4870909,
Karl Çiğköfte,Selşukhn Caddesi,,
Tazedo,Fatih Bulvarı Caddesi,,
Kardeşler büfe &lokanta,Belediye Caddesi,05365195511,
Kasap ızgaea,Bahrullah efenbi Sokači,02164875677,
Lokantası,kubbe Caddesi,02165920086,
Tepe,selçukhan Caddesi,,
Bayar bide & borek salon,Şanlıurfa Caddesi,05367005392,
Zeytin Dalı,Fatih Bulvarı Caddesi,05385156737,
Salas lahmacun,Petrol yolu caddsi,,
Çağla borek,çamlik Caddesi,02164966723,
Anadolu tandır lavaş,Bağlik Caddesi,05534500037,
,Boncuk Sokağı,,
Altintepe unlu mamülleri,selçukhan Caddesi,,
Çuvalcioğlu restaurant,Belediye Caddesi,02164986110,
Ciğerci Abe,kubbe Caddesi,,
Özşark Kebap,kubbe Caddesi,,
Güleryüz,kubbe Caddesi,05367219494,
çiğköfte ömer usta,selçukhan Caddesi,,
Sivas Etli Pide & Köfte,fatih bulvarı,,
Bereket'li Pide,kubbe Caddesi,,
Demir,Fatih Bulvarı,,
Günışığı cafe ve restaurant,Balarısı sokaği,,
inciraltı,Tavukçu yolu caddsi,,
Has çiğköfte,sarısu sokaği,,
Nevşehirli,sarısu sokaği,,
karadeniz pide vakfıkebir ekmek,fatih bulvarı,,
Meşhur Adıyaman çiğ köftesi,Şanlıurfa Caddesi,02164190404,
Üsküdar İskender,Fatih Bulvarı Caddesi,02164193962,
Aşiyna van kahvaltı,emir Caddesi,,
Tarihi Safranbolu kofte döner yemek salonu,Fatih Bulvarı Caddesi,02164966877,
şımarık büfe,Dumlupınar Caddesi,02164195353,
Çitir Böreek,reyhanoğlu Caddesi,02165924422,
Rezzan,faith Caddesi,02164960000,
İmren köfte,Şanlıurfa Caddesi,02164963496,
Enes kebap,Kubbe Caddesi,,
sütçüoğlu kabap ve lahmacun,Eşrefbey,,
Karadeniz pide &börek salonu,Orman Caddesi,02163981455,
Karadeniz,Şanlıurfa Caddesi,05312124161,
Töremiz,selçukhan Caddesi,,
Emin çiğköfte,Selçukhan Caddesi,,
Dürümcü Kemal Usta,Fatih Bulvarı Caddesi,,
Çiğdem lokantasi,fatih bulvarı فاتح بولفاري,,
Yormaz ( pasta&kahve),Petrol yolu cadeci جادة شارع البترول,,
Kısmet Kebap,fatih bulvarı,3983790,
,Kumbaracı Yokuşu,,
Lalezar Meyhanesi,Cumhuriyet Cad,+90 212 3156000/8426,info.istanbul@hilton.com
Yeldeğirmeni Cafe,,,
,Kazım İsmail Gürkan Caddesi,,
,Tevkifhane Sokak,,
Armada Teras,Ahırkapı Caddesi,,
Saca Ocakbaşı,Dr. Faruk Ayanoğlu Caddesi,,
Çömçem,Dr. Faruk Ayanoğlu Caddesi,,
Pizeria Quattro,Billurcu Sokağı,+902128123358,
Akdamar Lokantasi,Hoca Paşa Sokak,,
Mutfak Dili Ev Yemekleri,Ziyalı Sokak,02122541154,
Tarihi Kırkpınar Kuzu ve Oğlak Çevirme,,,
Fener Restaurant,Telli Odalari Sokak,+902125164002,
Balkan Lokantası,,,
Mahmiye,Ticarethane Sokak,+90 212 512 27 12,
Privileged Minority,,,
Musafir,Recep Paşa Caddesi,,
Tazeler Gıda,mecidiye caddesi,+90 505 080 0303,
Park bufe,,,
Kebab Restaurant,"Katip Mustafa Çelebi, Çukurlu Çeşme Sk. No:15, 34433 Beyoğlu/İstanbul",,
Güvenç Konyalı,,,
M-Point Cafe and restaurant,Yeni Çiftlik Caddesi,(0212) 664 44 24,
Lamba Cafe and Restaurant,Yeni Çiftlik Caddesi,,
Ciğeristan,Mevlana Caddesi,,
Pizza Pizza,Gümüşsuyu Davutpaşa Caddesi,,
Mangal kebap,Sabri Ülker Sokak,,
burger shop,Mevlana Caddesi,,
Güven Konya mutfağı,,,
Gidun cafe restaurant,Yeni Çiftlik Caddesi,,
Berke Kebap Evi,Gümüşsuyu Davutpaşa Caddesi,,
Big Mammas,Yeni Çiftlik Caddesi,,
Paşafırını,Yeni Çiftlik Caddesi,,
pilavı kâmil Usta,Sabri Obenik Sokağı,,
Ekim Et Lokantası,Gümüşsuyu Davutpaşa Caddesi,,
Paşa Döner,Yedikule Çırpıcı Yolu,(0212) 482 73 79,
Zebu Kebab Evi,Cevizlibağ Köprüsü,,
merkez köfte,Sabri Ülker Sokak,,
Dilek,Yedikule Çırpıcı Yolu,02126717034,
Tavuk Barakat,Sabri Ülker Sokak,,
Çınaraltı Kebap,Davutpaşa Caddesi,(0212) 481 56 95,
Ortaklar Restoran,Gümüşsuyu Caddesi,02124824863,
Ezgim Et,Yılanlı Ayazma Yolu,(0212) 481 49 48,
Gümüşsuyu Et Lokantası,Gümüşsuyu Caddesi,02125677967,
Mevlana Pide,Gümüşsuyu Cd.,02125446424,
Konak Lokantası,Gümüşsuyu Cd.,,
Akçaabat Köftecisi,Yedikule Çırpıcı Yolu,(0212) 567 14 61,
Urfa Dürüm,Davutpaşa Çiftehavuzlar Cd.,02125442268,
DAMAK YEMEK ŞÖLENİ,Demirciler sitesi 6 Cd,,
Bülent Börekçilik,,,
Demirdağ kebap,G-13 Sk,,
Ömer Usta Pilavcı,,,
kebabistan,Mevlana Cd,,
kısmet,g-4 sk,,
Burhan Usta Pide,Mevlana Cd,,
Nezih Köfte,,212 416 99 29,
dilim börek,Demirciler sitesi 8 Cd,,
Çağrı KEBAP salonu,G-13 Sk,,
HAS MANTI,ŞEHİT İSMET ÇAVUŞ SK,,
ANADOLU,Seyit Nizam Cd,05060668440,
Etibol döner,Yeşilyol d sok.,,
Özbek Milli Taomlar Nur,,,
Üsküp Köftecisi,,,
kahvaltı,g-6 sok,,
Barış pide lokantası,Şht. Er Ramazan kırman sk,,
Kebapçı Baran Usta,,,
Akçay Döner,Mevlana Cd,,
Madina lokantası,114. sokak,,
özgül,Seyit Nizam Cd,,
arzum börek,balıkçırpıcı yolu sok,,
mevlana pide,G-13 Sk,,
namlı sarıyer,G-13 Sk,,
Mangaldan,,,
KANATHANE,Mevlana Cd,,
Mangaldan restaurant,Semiha şakir caddesi,,
Sarıyer börekçisi,G-13 Sk,,
ÖZ KARADANIZ,Mevlana Cd,,
ASMALI BAHÇE,Demirciler sitesi 8 Cd,,
AKÇA ABAT,Demirciler sitesi 2 Cd,,
Birlik Döner,Mevlana Cd,,
Hudri lokantası,75/2. sokak,,
Öz Malatya Tandır ve Kebap,,,
Öses Çiğ Köfte,,,
Badem Kahvaltı ve Döner,,,
Baran Urfa sofrası,,,
Alshahbaa lokantası,75/2. sokak,,
ERVAN ET,,,
Bader lokantası,114. sokak,,
DÖNER SALONU,,,
Zeytinburnu Belediyesi Belgradkapı Sosyal Tesisleri,,,
CİHAN KÖFTE,,,
Muhtar lokantası,,,
MUTLU PİDE,,,
LOKANTA,,,
MEVLANA PİDE,,,
DOĞU LOKANTA,,,
TUŞPA ET VE TAVUK,,,
Pehlivan corba,,,
DAR VAKİT DÜRÜM EVİ,,,
Akın baba,,,
KÖYÜM,,,
Rida lokantası,,,
Doğu lokantası,,,
Sarıyer börek ve pide salonu,Seyit Nizam Caddesi,,
Manyas Restaurant,,,
Oz mevlana,48 Sokak,,
Belik doner,50/1 Sokak,,
Coşkun Lokantası,,,
Hacı Abi lokantası,,,
Köfteci Nedim,50 Sokak,,
Mevlana Pide,,,
Gencler kebab,Sht komseri Gunaydin caddesi,,
Rahman Et ve Tavuk Lokantası,,,
Adana Sofrası,,4167005,
Elif Börek Salonu,Merv Caddesi,,
Doner,Sht komseri Gunaydin caddesi,,
Urfa Dergah Kebap,Merv Caddesi,4160063,
Sadakat,48 Sokak,,
Evcil Lahmacun Pide,,,
bolu elikeyf,74. Sokak,,
Bereket Sofrası,Merv Caddesi,5466195,
Yenidogan,48 Sokak,,
ehli ceğer,Turan Güneş Caddesi,,
paşafırını,Turan Güneş Caddesi,,
Osmanli,44 Sokak,,
başak börekcisi,Merv Caddesi,,
Mevlana Pide,58 Blv caddesi,,
Şenkardeşler,Merv Caddesi,,
Borek,Sht komseri Gunaydin caddesi,,
meydan dürüm,24. sokak,02124160904,
big mommas,Turan Güneş Caddesi,,
royal tavuk,Merv Caddesi,,
güzel hayat,Turan Güneş Caddesi,,
has adıyman,Merv Caddesi,,
papyon,Turan Güneş Caddesi,,
mevzubahiş,24. sokak,,
hacı sayid,Turan Güneş Caddesi,,
Eyup sultan,48 Sokak,,
öz baba döner,Merv Caddesi,05333034649,
Usta eller,74. sok.,,
de lotte,Turan Güneş Caddesi,,
Meşhur Pide,58 Blv caddesi,,
Paçalı,Turan Güneş Caddesi,,
praga,Turan Güneş Caddesi,,
Sadakat,50 Sokak,,
shez fren,turan güneş caddesi,,
tencerem yemekleri,Turan Güneş Caddesi,,
Özbek Sofrası,,,
Ercan,Sht komseri Gunaydin caddesi,,
Emir pasta ve börek,74. sok.,,
Alacati,58/3 Sokak,,
Vatan,50/1 Sokak,,
vargeller kebap,8/3. sokak,5825464,
Üsküp lokantası,Semiha şakir caddesi,,
mahmud usta kebap,Merv Caddesi,,
Kestane restaurant,Ahmet yesevi sokak,,
Nadir kebab,58 Blv caddesi,,
lezzet döner,Şht. Er Yavuz Bahar Sokak,5580003,
Reating,48 Sokak,,
park lokantası,Turan Güneş Caddesi,,
nur acım kebap salonu,Şht. Piyade Er Yaşar Yeşilkır sokak,,
Sıradışı kebap,74. sok.,,
çiftlik chicken,8/3. sokak,05538393536,
Erdil,45/3 Sokak,,
Merdas,48 Sokak,,
Mangaldan,58 Blv caddesi,,
akçay döner,Şht. Er Yavuz Bahar Sokak,5465840,
Ozen,Sht komseri Gunaydin caddesi,,
mevlana pide,Şht. Er Yavuz Bahar Sokak,5584259,
Pizzaline,74. sokak,,
Osman Baba,18. sokak,5580868,
Şam şerif lokantası,75/3 sok.,,
Akida Pilav,18. sokak,,
Ademoğlu,Adnan Kahveci Sokak,02124165768,
Yılmazlar restaurant,Ahmet yesevi sokak,,
Safran Karadeniz,Turan Güneş Caddesi,02125463186,
İmamoğlu Pide,18. sokak,,
Kösem,58 Blv caddesi,,
Merkez,48 Sokak,,
Saraykale,,,
İnegöl Et Lokantası,58. Bulvar Caddesi,,
hacı dayı,,,
Öz Mevlana Pide,58. Bulvar Caddesi,,
Taksim Cafe,58. Bulvar Caddesi,,
Zeytinburnu sosyal tesisleri,,,
Sahil Hisar restaurant,,,
Slaav lokantası,,,
CİĞERCİ,,,
Merdanem,,,
Satılmış Usta Pide,Bosna Caddesi,,
Yıldız konferans sofrası,Halkalı caddesi,,
Karşıyaka gıda,Karaoğlanoğlu caddesi,,
112 Kebap ve Dürüm Evi,İnönü Caddesi,,
Beren ev yemekleri,Karaoğlanoğlu caddesi,,
İzmir Kokoreç Döner Ciğer Çorba,Gazi Mustafa Kemal Caddesi,,
Mis Restoran,Bağcılar Asf. Caddesi,,
Beyran Lokantasi,Velioğlu caddesi,,
Lezzet sofrası,,,
Hal cafeterya,,,
Çetin büryan,,,
Feride hanım ev yemekleri,,,
OBA DÖNER,,,
Tarihi Fatih Köftecisi,,,
Mersin kardeşler tentuni,,,
KIRVAN Döner,,,
Kebabçi Baran,Kışla caddesi,,
Aksa,Barbaros caddesi,,
Halep lokantası,,,
Özgül kebap,,,
Küşlemeci,Matbaacilar caddesi,,
KEBAP,Osmangazi Caddesi,4330964,
Karadeniz sofrası,,,
Sac Tava,Barbaros caddesi,,
KONAK PİDE,,,
Efsane döner,,,
Dağyolu,Osmangazi Caddesi,4335757,
Viyama,Barbaros caddesi,,
Çağ kebap,,,
Konak,Matbaacilar caddesi,,
Japon,Mustafa Kemal Caddesi,,
Soframız,23. sokak,,
KEBAP SARAYI,,,
Saray kebap,Mustafa Kemal Caddesi,,
İbad elrrehmen,Fetih Caddesi,,
Doğan Et Lokantası,Fetih Caddesi,,
Sallouraoğlu Halep Sofrası,Maslak caddesi,,
Al Şalal,,,
Maşhadani Lokantasi,Osmanoğlu Caddesi,,
Naimoğlu,Maslak caddesi,,
Kimyon Yemek Evi,Menderes Caddesi,,
Köşem Restaurant,Atatürk Caddesi,,
Karadeniz sofrası,Mevlana caddesi,,
Rüstemoğlu Sofrası,Menderes Caddesi,,
Kardeslar borek,49.Sokak,,
Mevlana,2. sokak,,
Kayıpşehir Cafe & Restaurant,Malazgirt Caddesi,,
Adana Kebapcısı,Cumhuriyet Caddesi,4890772,
Fatih Lokantası,Cumhuriyet Caddesi,,
Ünal Kebap & Döner,,,
Loca Döner,Menderes Caddesi,,
Fatih lokantası,Kayaklı sokak,,
Deliorman Kebapçısı,Atatürk Caddesi,,
Kemal usta pilavci,Mahmutbey caddesi,,
Ömeroğlu,Atatürk Caddesi,,
Kebapçı Ayhan,Ataturk caddesi,,
Mevlana pide,Ataturk caddesi,,
Safran pide,Mevlana caddesi,,
Izgara,61.Sokak,,
Fabrika Cafe & Restaurant,Menderes Caddesi,,
Ünlu Sarıyer,Yavuz sultan selim caddesi,,
Bursa İskender,Atatürk Caddesi,,
Mehim Kebap,Atatürk Caddesi,,
Güneşli İskender Salonu,Atatürk Caddesi,,
Bereket kebap,2. sokak,,
Hatay Dürüm Diyarı,Menderes Caddesi,,
Postcu Baba Waffle,Menderes Caddesi,,
Leziz sarıyer börekçisi,4. sokak,,
Akpınar kebap,Cevizli sokak,,
Şirazen,Yavuz sultan selim caddesi,,
Kofte,Osman pasa caddesiy,,
Sahin sulu,Osman pasa caddesi,,
beyrut lokantası,Nalan sokaklar,,
Steak Burger,Cumhuriyet Caddesi,6300888,
Salkım döner,K. Sinan Bağcılar Yolu Caddesi,,
Meydan pide,Ataturk caddesi,,
Atanor,Gul sokak,,
Lokanta,Yalcin kores caddesi,,
Haci sayid,Kocman caddesi,,
Namlı sarıyer börekçisi,Hoca Ahmet Yesevi Caddesi,,
Bağdat ocakbaşı,Mevlana caddesi,,
TAT Bİ PİLAV,Cumhuriyet Caddesi,,
Alrabii lokantası,1/13D sok.,,
Total,Osman Paşa Caddesi,,
Tamam lokantası,K. Sinan Bağcılar Yolu Caddesi,,
Damak Pide,Cumhuriyet Caddesi,,
Yeniler,Yalcin kores caddesi,,
Bolye yemek,6/A. sokak,,
Ev yemekleri,Zübeyde hanım caddesi,,
Mangalcim et,Mevlana caddesi,,
Kaitou,Cumhuriyet Caddesi,,
Zemcioglu,Ataturk caddesi,,
Ray gele,Cesme sokak,,
Sebo dayının yeri,Hoca Ahmet Yesevi caddesi,,
Star Döner,Menderes Caddesi,,
Ham ibrahim,Ataturk caddesi,,
Özcüneş Lokum & Şekerleme,Atatürk Caddesi,,
Harbi Döner,Menderes Caddesi,,
Mesut usta kömürde piliç,Mevlana caddesi,,
Big Mamma's,Cumhuriyet Caddesi,,
Tabela,Ataturk caddesi,,
Emine Sultan Ev Yemekleri,Atatürk Caddesi,,
Dostlar Ocakbaşı,Atatürk Caddesi,,
Öztaş Lokantası,Bağcılar Asf. Caddesi,,
Esnaflar Restaurant,Favziçakmak Caddesi,,
Hatay Dürüncüsü,Devekaldırımı Caddesi,,
Altin tepsi,Tavukcu kopru caddesi,,
Bülbül Lokantası,Piri reis sokak,,
Eyüp Pide,Deniz sokak,,
Atestugla,Bagcilar Asf caddesi,,
Şimşek Pastanesi,Mevlana caddesi,,
Esnaf lokantasi,Komculer caddesi,,
Parkmangal,Mahmutbey caddesi,,
Kacmaz,Ahmet kabakli,,
Rose,Tavukcu kopru caddesi,,
Aziz usta,Komculer caddesi,,
Sahra fastfood,Komculer caddesi,,
Nersin,Mevlana caddesi,,
Netlasan,Tavukcu kopru caddesi,,
Matam halep,Turna sokak,,
Urfa Kebap Salonu,Bağcılar Asf. Caddesi,,
Caylan,Tavukcu kopru caddesi,,
Has cigkofte,Mevlana caddesi,,
KARDEŞLER DÜRÜM,Birlik Caddesi,4740363,
Marsal aziz usta,Tavukcu kopru caddesi,,
Onur Pide & Börek,Mahmutbey Caddesi,8033836,
Ziyafet cigkofte,Mevlana caddesi,,
Hazar Kanat,Mahmutbey Caddesi,05377347003,
Oz ay,Bagcilar Asf caddesi,,
Baba doner,Ahmet kabakli,,
Golden garden,Komculer caddesi,,
Burak Pide,Favziçakmak Caddesi,,
Tayfor bufe,Mevlana caddesi,,
Almina Lokantası,Mahmutbey Caddesi,,
Lider et,Mevlana caddesi,,
Erken usta cigkofte,Bagcilar Asf caddesi,,
Ahmet usta,Ahmet kabakli,,
Urfa pide,Mevlana caddesi,,
Meydan Dürüm,Birlik Caddesi,,
Üsküp Lokantası,25.sk,,
Salloura,25.sk,,
Hatay kebap,25/4 . sokak,,
Çakır köfte,esenler caddesi,,
Pizzalive,Fatih Caddesi,4445483,
Eylül Pide,2004 Sokak,02124614021,
KUZUBEYİ,2004 Sokak,02124345308,
Safir kebab & Lahmacun,1992 Sokak,,
Tarihi İskender,Osmangazi Caddesi,6345742,
Alo döner,Osmangazi Caddesi,02121330633,
Halep Kahvesi,842 sokak,,
Al Tayeb,Esenler Cd,,
Efsane,fatih Caddesi,,
Tat bir pilav,İstanbul cd,,
Camlıbel,Namık Kemal Caddesi,,
Emirhan sofrası,Osmangazi Caddesi,6340999,
Diva kebap,esenler caddesi,,
ÜÇKAYA ET LOKANTASI,Fatih Caddesi,6348750,
Mersin tantuni,25.sk,,
Hacı Sayid,Osmangazi Caddesi,,
KİRVAM ET LOKANTASI,Namık Kemal Caddesi,02124361127,
Pandora restaurant,Bağcılar caddesi,,
Kervan döner,Hoca Ahmet Yesevi Caddesi,,
Yörem kebap,26/9. sokak,,
Biyesen çiğköfte,Şehit Yılmaz Kaan Caddesi,,
Danacı,Bağcılar caddesi,,
Kekik restaurant,6.sokak,,
SAFRAN DÖNER,,,
Express döner köfte,30/11. sokak,,
مطعم البارون,Bağcılar caddesi,,
Kömür,Güngören caddesi,,
Kahta döner,Şehit Yılmaz Kaan Caddesi,,
Çorbacı müdavim,Güngören caddesi,,
Osmanoğulları pide & börek,26/9. sokak,,
Urfa kebapçı,Hoca Ahmet Yesevi caddesi,,
Damak et mangal,Güngören caddesi,,
Pide lahmacun kebap,Şehit Yılmaz Kaan Caddesi,,
DAMAK TADI,,,
KEPAP & DÖNER SARAYI,,,
Bağdatli ocakbaşı,Güngören caddesi,,
Han Et Mangal,6.sokak,,
Hacı Said,Güngören caddesi,,
Sultan Tabağı,Bağcılar Caddesi,,
Yücel Usta Mangalbaşı,Bağcılar Caddesi,,
Çotanak pide,Mehmet Akif Bulvarı,,
Abdurrahman Şark Sofrası,Hasan Hüseyin Aksoy Caddesi,,
Pandora cafe restaurant,29/A. sokak,,
Simya cafe restoran,6.sokak,,
Heydöner,Bağcılar caddesi,,
Kahta araames,5.sokak,,
Sadık Oğulları Börek Pide Pizza,Bağcılar Caddesi,,
Özgüllüm lokantası,Bağcılar caddesi,,
Pate Manti,Mehmet Şevki Paşa Caddesi,,
Tatlises Cig Köfte,Bahçelerarası Sokak,,
Marmaris Büfe,,,
Sanat,,,
Yoros,,,
Pardi Cafe & Restaurant,Hanımeli Sk.,,
Lipari,Bebek Arnavutköy Caddesi,0212 263 25 74,
Hatay Medeniyetler Sofordsi,,,
